game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (34-3),0,23,33,278,2,27,169,2,6.3,60,7.5,0,8,0,19,7,70,0,0,1,1,18,29,142,0,23,46,0,2.0,52,3.6,3,4,3,13,3,15,0,1
W (52-6),0,18,31,234,3,33,170,2,5.2,64,6.3,1,11,1,24,7,45,0,0,1,3,18,29,130,0,35,47,0,1.3,64,2.8,1,5,1,11,5,35,1,2
W (49-14),2,18,26,289,2,31,280,5,9.0,57,10.0,2,9,2,23,5,54,1,1,1,0,18,27,139,1,43,125,1,2.9,70,3.8,3,8,3,18,8,52,0,0
W (37-34),2,18,21,243,2,36,109,1,3.0,57,6.2,2,7,2,16,9,74,2,0,1,0,17,40,148,1,33,221,3,6.7,73,5.1,1,9,1,19,6,50,0,0
W (52-0),1,25,33,355,4,41,190,3,4.6,74,7.4,0,10,0,26,3,25,0,1,1,2,13,24,74,0,32,118,0,3.7,56,3.4,1,4,1,11,3,25,0,2
W (56-7),2,25,32,427,6,35,187,1,5.3,67,9.2,1,9,1,24,7,59,1,1,1,1,21,30,132,0,39,128,1,3.3,69,3.8,1,4,1,14,3,32,0,1
W (63-0),1,12,18,266,3,47,334,6,7.1,65,9.2,2,14,2,25,7,59,1,0,1,2,22,40,103,0,27,42,0,1.6,67,2.2,1,3,1,10,4,40,0,2
W (42-10),0,16,22,226,3,34,181,3,5.3,56,7.3,0,10,0,18,4,40,0,0,0,2,18,31,141,1,41,149,0,3.6,72,4.0,2,8,2,17,4,23,2,0
W (52-3),0,27,31,397,1,42,258,6,6.1,73,9.0,0,13,0,34,8,80,0,0,1,2,25,40,250,0,25,28,0,1.1,65,4.3,2,4,2,18,8,58,1,1
W (52-13),1,23,33,388,4,36,219,3,6.1,69,8.8,1,12,1,26,11,135,0,1,1,2,23,33,157,1,37,38,0,1.0,70,2.8,6,4,6,17,6,51,1,1
W (34-12),1,12,18,235,4,42,222,1,5.3,60,7.6,0,11,0,21,8,60,1,0,0,3,15,29,161,0,37,85,1,2.3,66,3.7,2,10,2,19,1,5,2,1
W (56-0),1,24,31,409,5,50,309,3,6.2,81,8.9,2,19,2,40,7,65,0,1,1,0,2,13,18,0,30,48,0,1.6,43,1.5,2,3,2,6,2,20,0,0
W (23-13),0,18,30,158,0,34,198,2,5.8,64,5.6,2,8,2,18,11,99,0,0,0,2,12,30,100,0,38,146,1,3.8,68,3.6,3,9,3,17,6,55,0,2
