game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp
W (13-12),0,15,24,160,0,30,102,1,3.4,54,4.9,0,5,0,12,9,85,0,0,0,1,14,28,114,0,45,170,0,3.8,73,3.9,4,12,4,23,4,23,1,0
W (56-0),0,25,33,410,2,39,273,6,7.0,72,9.5,0,13,0,30,6,58,0,0,1,0,8,17,71,0,31,28,0,0.9,48,2.1,1,0,1,6,2,2,0,0
W (38-7),1,26,40,298,3,35,185,2,5.3,75,6.4,1,6,1,23,4,40,0,1,0,3,16,25,199,1,25,47,0,1.9,50,4.9,0,3,0,13,2,19,2,1
W (49-14),0,23,27,306,2,32,240,4,7.5,59,9.3,2,9,2,26,3,36,0,0,0,0,23,35,178,0,32,131,2,4.1,67,4.6,2,8,2,19,6,65,0,0
W (31-12),0,24,36,246,3,32,143,1,4.5,68,5.7,0,9,0,19,7,45,0,0,0,3,22,33,204,1,23,80,0,3.5,56,5.1,0,4,0,13,4,30,1,2
W (51-3),2,15,29,258,2,52,239,5,4.6,81,6.1,3,13,3,26,7,55,0,2,1,2,11,25,54,0,25,57,0,2.3,50,2.2,1,3,1,7,10,56,0,2
W (42-16),3,16,26,194,2,42,199,4,4.7,68,5.8,4,8,4,20,13,120,3,0,1,0,16,36,103,0,46,206,1,4.5,82,3.8,4,11,4,21,11,92,0,0
W (41-34),1,27,33,374,2,32,173,3,5.4,65,8.4,0,6,0,21,10,90,0,1,1,4,27,50,439,3,26,80,2,3.1,76,6.8,2,5,2,25,6,50,1,3
W (40-6),2,26,34,377,2,45,272,3,6.0,79,8.2,2,18,2,33,11,114,1,1,0,2,24,42,265,0,32,46,0,1.4,74,4.2,5,2,5,21,6,60,1,1
L (17-20),1,18,27,261,1,29,92,1,3.2,56,6.3,0,6,0,14,8,53,1,0,1,0,18,28,243,1,47,93,1,2.0,75,4.5,3,11,3,22,3,30,0,0
W (34-27),1,13,20,204,2,37,234,2,6.3,57,7.7,0,10,0,21,7,76,0,1,1,2,25,40,254,2,26,121,1,4.7,66,5.7,1,4,1,20,3,18,0,2
W (21-7),0,15,21,135,0,44,239,3,5.4,65,5.8,2,14,2,24,6,63,0,0,1,2,16,25,185,1,32,34,0,1.1,57,3.8,3,5,3,17,9,60,1,1
L (14-16),2,20,33,163,0,28,123,2,4.4,61,4.7,1,7,1,17,3,35,0,2,1,0,10,20,198,1,45,190,0,4.2,65,6.0,1,9,1,16,3,35,0,0
W (28-3),2,17,28,158,1,36,270,3,7.5,64,6.7,5,8,5,24,8,66,2,0,1,2,14,36,119,0,28,110,0,3.9,64,3.6,3,8,3,17,10,100,0,2
W (33-20),0,11,17,178,2,55,310,1,5.6,72,6.8,3,18,3,27,13,110,0,0,0,3,18,29,249,2,25,52,1,2.1,54,5.6,3,5,3,19,7,65,0,3
W (21-17),0,11,22,163,2,38,134,1,3.5,60,5.0,3,8,3,17,7,63,0,0,1,3,23,41,279,1,30,100,1,3.3,71,5.3,2,8,2,21,10,75,2,1
W (27-21),0,21,30,264,1,43,176,1,4.1,73,6.0,1,9,1,22,8,91,0,0,1,2,16,28,249,3,26,49,0,1.9,54,5.5,2,4,2,16,5,28,0,2
L (12-31),3,22,33,204,1,23,80,0,3.5,56,5.1,0,4,0,13,4,30,1,2,1,0,24,36,246,3,32,143,1,4.5,68,5.7,0,9,0,19,7,45,0,0
W (27-24),2,7,12,32,0,46,290,3,6.3,58,5.6,0,12,0,12,3,25,2,0,1,2,28,52,283,3,21,96,0,4.6,73,5.2,0,3,0,17,6,32,1,1
W (16-12),1,19,32,174,2,29,75,0,2.6,61,4.1,1,4,1,15,5,67,0,1,1,2,24,28,260,1,35,58,0,1.7,63,5.0,3,5,3,18,8,70,1,1
L (15-25),3,18,34,186,1,34,36,1,1.1,68,3.3,4,4,4,16,3,32,2,1,1,2,13,21,194,1,52,151,1,2.9,73,4.7,1,8,1,14,10,82,2,0
W (38-21),1,20,33,239,3,41,221,1,5.4,74,6.2,2,9,2,23,1,15,0,1,0,2,18,35,245,2,34,140,1,4.1,69,5.6,0,5,0,14,9,65,0,2
L (10-23),2,20,40,280,1,29,84,0,2.9,69,5.3,0,6,0,19,3,20,0,2,1,1,19,31,197,2,30,161,0,5.4,61,5.9,1,7,1,17,5,35,0,1
W (31-7),0,14,23,156,2,41,235,1,5.7,64,6.1,2,15,2,21,3,20,0,0,1,1,26,42,268,0,19,56,1,2.9,61,5.3,0,5,0,16,9,74,0,1
W (42-20),1,19,31,259,3,34,300,3,8.8,65,8.6,1,10,1,23,6,49,0,1,1,3,26,50,364,1,30,126,1,4.2,80,6.1,3,7,3,25,2,20,1,2
L (13-28),1,21,42,272,1,16,21,0,1.3,58,5.1,0,3,0,13,7,50,0,1,1,0,10,16,106,2,52,263,2,5.1,68,5.4,0,12,0,18,1,15,0,0
W (14-9),1,16,27,177,1,41,107,1,2.6,68,4.2,1,7,1,17,7,72,0,1,1,1,22,37,303,0,37,107,0,2.9,74,5.5,1,9,1,23,10,55,0,1
W (45-10),1,28,39,431,5,35,129,1,3.7,74,7.6,1,9,1,24,9,80,0,1,0,1,19,37,236,0,32,116,1,3.6,69,5.1,2,8,2,19,4,40,0,1
L (20-42),3,26,50,364,1,30,126,1,4.2,80,6.1,3,7,3,25,2,20,1,2,0,1,19,31,259,3,34,300,3,8.8,65,8.6,1,10,1,23,6,49,0,1
L (20-23),2,12,24,153,0,35,199,2,5.7,59,6.0,0,8,0,17,9,90,0,2,1,0,7,18,86,1,47,181,1,3.9,65,4.1,3,11,3,17,3,25,0,0
L (27-38),1,15,34,179,1,34,167,2,4.9,68,5.1,3,11,3,20,6,50,0,1,1,3,28,37,356,3,35,151,1,4.3,72,7.0,0,11,0,26,5,52,1,2
W (62-0),0,30,40,507,6,31,243,2,7.8,71,10.6,0,9,0,31,8,85,0,0,1,1,18,32,109,0,20,6,0,0.3,52,2.2,1,2,1,9,3,15,0,1
W (38-34),3,24,38,343,4,32,165,1,5.2,70,7.3,1,9,1,24,6,59,1,2,1,1,20,34,188,2,32,206,2,6.4,66,6.0,2,11,2,23,6,40,0,1
W (30-20),1,22,33,210,0,36,151,2,4.2,69,5.2,1,9,1,20,4,40,0,1,1,2,19,36,281,1,19,33,1,1.7,55,5.7,0,3,0,12,2,20,1,1
W (24-17),0,13,20,109,1,27,62,1,2.3,47,3.6,3,3,3,11,6,46,0,0,1,4,14,29,159,1,44,120,1,2.7,73,3.8,1,11,1,20,6,56,2,2
L (7-31),1,26,42,268,0,19,56,1,2.9,61,5.3,0,5,0,16,9,74,0,1,0,0,14,23,156,2,41,235,1,5.7,64,6.1,2,15,2,21,3,20,0,0
W (31-19),0,13,19,269,2,27,57,0,2.1,46,7.1,3,4,3,14,7,69,0,0,1,1,21,32,312,0,37,98,2,2.6,69,5.9,1,6,1,18,6,44,1,0
W (31-14),0,14,21,130,1,51,208,2,4.1,72,4.7,3,11,3,20,8,58,0,0,1,1,13,36,131,1,26,147,1,5.7,62,4.5,1,5,1,12,5,58,0,1
L (23-26),3,13,27,137,0,27,183,3,6.8,54,5.9,0,9,0,14,4,34,2,1,1,1,16,25,269,0,52,153,3,2.9,77,5.5,3,9,3,25,4,20,1,0
L (34-37),0,17,40,148,1,33,221,3,6.7,73,5.1,1,9,1,19,6,50,0,0,0,2,18,21,243,2,36,109,1,3.0,57,6.2,2,7,2,16,9,74,2,0
L (15-18),3,17,36,144,0,36,117,0,3.3,72,3.6,1,8,1,18,7,69,2,1,1,3,15,29,202,1,35,134,1,3.8,64,5.3,1,6,1,16,5,45,1,2
W (42-16),1,16,23,254,3,51,204,2,4.0,74,6.2,3,11,3,23,7,61,1,0,1,3,12,34,222,2,26,63,0,2.4,60,4.8,1,3,1,13,10,79,0,3
W (52-7),2,16,25,253,2,48,237,5,4.9,73,6.7,1,14,1,25,2,15,0,2,1,4,9,23,118,1,35,64,0,1.8,58,3.1,0,4,0,12,5,50,2,2
W (28-10),2,15,19,228,1,43,179,3,4.2,62,6.6,1,8,1,19,2,20,2,0,1,3,26,43,244,1,30,91,0,3.0,73,4.6,1,8,1,18,2,25,1,2
L (19-24),0,26,35,326,1,31,126,0,4.1,66,6.8,0,9,0,21,16,135,0,0,1,1,17,34,245,1,30,136,2,4.5,64,6.0,6,7,6,25,6,45,0,1
L (18-21),0,27,37,314,2,29,207,0,7.1,66,7.9,1,12,1,23,6,69,0,0,0,0,14,24,115,1,33,184,2,5.6,57,5.2,2,7,2,15,4,31,0,0
L (34-38),2,16,30,210,2,45,188,2,4.2,75,5.3,3,10,3,22,7,67,0,2,0,0,21,30,301,3,29,78,1,2.7,59,6.4,4,6,4,24,12,112,0,0
W (20-12),1,25,39,272,2,32,65,0,2.0,71,4.7,3,5,3,19,5,35,0,1,0,3,16,31,201,0,24,37,1,1.5,55,4.3,0,3,0,11,6,43,2,1
W (24-7),1,26,41,227,0,32,186,3,5.8,73,5.7,1,9,1,22,4,33,1,0,1,2,21,31,283,0,25,29,1,1.2,56,5.6,1,4,1,13,5,46,2,0
W (28-10),0,23,30,185,1,35,149,2,4.3,65,5.1,5,10,5,22,12,105,0,0,1,2,23,40,244,1,22,16,0,0.7,62,4.2,1,3,1,15,9,104,1,1
W (28-10),0,17,27,257,1,32,161,2,5.0,59,7.1,8,6,8,26,11,94,0,0,0,1,18,25,174,1,31,50,0,1.6,56,4.0,0,4,0,12,13,165,0,1
L (10-42),2,18,31,141,1,41,149,0,3.6,72,4.0,2,8,2,17,4,23,2,0,1,0,16,22,226,3,34,181,3,5.3,56,7.3,0,10,0,18,4,40,0,0
L (10-49),2,24,50,252,1,30,65,0,2.2,80,4.0,1,4,1,16,10,73,1,1,0,1,18,27,309,2,45,195,5,4.3,72,7.0,5,9,5,26,3,19,0,1
L (20-30),3,25,51,286,1,38,170,1,4.5,89,5.1,3,5,3,18,12,79,1,2,0,2,17,35,294,2,36,47,1,1.3,71,4.8,4,4,4,18,5,46,0,2
L (19-34),2,15,33,173,2,34,106,0,3.1,67,4.2,2,6,2,16,9,60,1,1,0,1,19,30,167,1,45,182,3,4.0,75,4.7,2,9,2,23,6,45,0,1
W (45-10),0,19,23,330,3,50,198,3,4.0,73,7.2,3,14,3,30,4,45,0,0,1,2,16,28,175,0,25,26,1,1.0,53,3.8,2,2,2,12,4,38,2,0
W (21-19),3,32,47,424,2,36,81,0,2.3,83,6.1,0,6,0,25,5,61,1,2,0,2,18,28,226,1,30,98,0,3.3,58,5.6,3,6,3,16,6,42,1,1
L (6-31),2,6,17,44,0,46,139,0,3.0,63,2.9,0,11,0,13,11,63,0,2,1,1,11,15,173,2,35,79,1,2.3,50,5.0,3,4,3,13,8,70,0,1
W (41-6),0,19,27,282,0,41,206,4,5.0,68,7.2,1,13,1,25,6,45,0,0,1,2,8,19,110,0,32,113,1,3.5,51,4.4,1,8,1,14,5,40,1,1
W (45-19),2,17,26,235,4,40,268,2,6.7,66,7.6,2,15,2,27,8,88,2,0,1,2,22,44,291,1,26,157,1,6.0,70,6.4,3,9,3,22,16,112,0,2
L (21-27),1,21,32,338,3,43,144,0,3.3,75,6.4,1,11,1,26,7,61,0,1,1,0,10,15,161,0,32,130,2,4.1,47,6.2,2,4,2,11,10,78,0,0
W (28-9),1,36,49,310,4,19,109,0,5.7,68,6.2,4,4,4,23,12,115,1,0,0,4,22,39,209,0,31,131,1,4.2,70,4.9,4,4,4,17,10,94,2,2
W (48-21),1,28,35,290,3,29,128,2,4.4,64,6.5,3,10,3,26,10,75,0,1,0,4,20,35,284,2,44,177,1,4.0,79,5.8,2,12,2,24,7,80,2,2
W (38-21),0,20,24,178,1,45,284,3,6.3,69,6.7,2,16,2,25,0,0,0,0,1,1,16,26,229,2,21,24,0,1.1,47,5.4,0,4,0,10,6,39,0,1
